report_id,week_number,firm_rate,firm_id,last_changed_date
342,202511,11.1,2,4/24/2025
343,202511,12,3,4/24/2025
344,202511,14,4,4/24/2025
345,202511,12.6,5,4/24/2025
346,202511,11.2,6,4/24/2025
347,202511,11.5,7,4/24/2025
348,202511,15.7,8,4/24/2025
349,202511,12.4,9,4/24/2025
350,202511,12.8,10,4/24/2025
351,202511,3.7,11,4/24/2025
352,202511,14.3,12,4/24/2025
353,202511,11.7,13,4/24/2025
354,202511,12.4,14,4/24/2025
355,202511,12.3,15,4/24/2025
356,202511,16.3,16,4/24/2025
357,202511,11.3,17,4/24/2025
358,202511,11.8,18,4/24/2025
359,202511,11.4,19,4/24/2025
360,202511,14.1,20,4/24/2025
361,202511,14.3,21,4/24/2025
362,202511,12.4,22,4/24/2025
363,202511,11.1,23,4/24/2025
364,202511,9.7,24,4/24/2025
365,202511,11.8,25,4/24/2025
366,202511,13.1,26,4/24/2025
367,202511,12.5,27,4/24/2025
368,202511,13.4,28,4/24/2025
369,202511,12,29,4/24/2025
370,202511,7.8,30,4/24/2025
371,202511,7.2,31,4/24/2025
372,202511,10.5,32,4/24/2025
373,202511,8.9,33,4/24/2025
374,202511,11.1,34,4/24/2025
375,202512,10.7,1,4/24/2025
376,202512,10.7,2,4/24/2025
377,202512,12.4,3,4/24/2025
378,202512,14,4,4/24/2025
379,202512,12.5,5,4/24/2025
380,202512,11.2,6,4/24/2025
381,202512,11.5,7,4/24/2025
382,202512,15.6,8,4/24/2025
383,202512,12.3,9,4/24/2025
384,202512,12.9,10,4/24/2025
385,202512,5.8,11,4/24/2025
386,202512,14.1,12,4/24/2025
387,202512,11.7,13,4/24/2025
388,202512,12.2,14,4/24/2025
389,202512,11.9,15,4/24/2025
390,202512,16.3,16,4/24/2025
391,202512,11.3,17,4/24/2025
392,202512,11.7,18,4/24/2025
393,202512,11,19,4/24/2025
394,202512,14.2,20,4/24/2025
395,202512,14,21,4/24/2025
396,202512,12,22,4/24/2025
397,202512,11.1,23,4/24/2025
398,202512,9.7,24,4/24/2025
399,202512,11.8,25,4/24/2025
400,202512,13.1,26,4/24/2025
401,202512,12.5,27,4/24/2025
402,202512,12.7,28,4/24/2025
403,202512,11.9,29,4/24/2025
404,202512,8.8,30,4/24/2025
405,202512,7.6,31,4/24/2025
406,202512,10.5,32,4/24/2025
407,202512,8.8,33,4/24/2025
408,202512,11.1,34,4/24/2025
409,202513,10.7,1,4/24/2025
410,202513,11.2,2,4/24/2025
411,202513,12.4,3,4/24/2025
412,202513,14,4,4/24/2025
413,202513,12.6,5,4/24/2025
414,202513,11.2,6,4/24/2025
415,202513,11.4,7,4/24/2025
416,202513,15.1,8,4/24/2025
417,202513,12.1,9,4/24/2025
418,202513,12.7,10,4/24/2025
419,202513,5.9,11,4/24/2025
420,202513,14.1,12,4/24/2025
421,202513,11.7,13,4/24/2025
422,202513,11.6,14,4/24/2025
423,202513,11,15,4/24/2025
424,202513,16.3,16,4/24/2025
425,202513,11.2,17,4/24/2025
426,202513,12.1,18,4/24/2025
427,202513,10.9,19,4/24/2025
428,202513,14,20,4/24/2025
429,202513,13.8,21,4/24/2025
430,202513,12.3,22,4/24/2025
431,202513,10.8,23,4/24/2025
432,202513,9.7,24,4/24/2025
433,202513,12.2,25,4/24/2025
434,202513,13.1,26,4/24/2025
435,202513,12.4,27,4/24/2025
436,202513,13.4,28,4/24/2025
437,202513,11.9,29,4/24/2025
438,202513,8.1,30,4/24/2025
439,202513,7.5,31,4/24/2025
440,202513,10.4,32,4/24/2025
441,202513,8.8,33,4/24/2025
442,202513,10.8,34,4/24/2025
443,202514,10.5,1,4/24/2025
444,202514,11.2,2,4/24/2025
445,202514,12.3,3,4/24/2025
446,202514,12.5,4,4/24/2025
447,202514,12.5,5,4/24/2025
448,202514,11.2,6,4/24/2025
449,202514,11.5,7,4/24/2025
450,202514,14.9,8,4/24/2025
451,202514,12.1,9,4/24/2025
452,202514,12.7,10,4/24/2025
453,202514,5.7,11,4/24/2025
454,202514,14.1,12,4/24/2025
455,202514,11.7,13,4/24/2025
456,202514,11.5,14,4/24/2025
457,202514,10,15,4/24/2025
458,202514,16.3,16,4/24/2025
459,202514,10.9,17,4/24/2025
460,202514,11.9,18,4/24/2025
461,202514,10.8,19,4/24/2025
462,202514,13.8,20,4/24/2025
463,202514,13.7,21,4/24/2025
464,202514,12.3,22,4/24/2025
465,202514,10.6,23,4/24/2025
466,202514,9.7,24,4/24/2025
467,202514,12.2,25,4/24/2025
468,202514,13.1,26,4/24/2025
469,202514,12.5,27,4/24/2025
470,202514,13.3,28,4/24/2025
471,202514,11.8,29,4/24/2025
472,202514,7.5,30,4/24/2025
473,202514,7.3,31,4/24/2025
474,202514,10.4,32,4/24/2025
475,202514,8.6,33,4/24/2025
476,202514,10.8,34,4/24/2025
477,202515,10.4,1,4/24/2025
478,202515,11.2,2,4/24/2025
479,202515,12.4,3,4/24/2025
480,202515,12.4,4,4/24/2025
481,202515,12.7,5,4/24/2025
482,202515,11.2,6,4/24/2025
483,202515,11.7,7,4/24/2025
484,202515,15,8,4/24/2025
485,202515,11.9,9,4/24/2025
486,202515,12.7,10,4/24/2025
487,202515,5.7,11,4/24/2025
488,202515,13.9,12,4/24/2025
489,202515,11.8,13,4/24/2025
490,202515,11.5,14,4/24/2025
491,202515,10.3,15,4/24/2025
492,202515,16.3,16,4/24/2025
493,202515,10.8,17,4/24/2025
494,202515,11.8,18,4/24/2025
495,202515,10.8,19,4/24/2025
496,202515,13.7,20,4/24/2025
497,202515,13.4,21,4/24/2025
498,202515,12.4,22,4/24/2025
499,202515,10.5,23,4/24/2025
500,202515,9.7,24,4/24/2025
501,202515,12.2,25,4/24/2025
502,202515,13.1,26,4/24/2025
503,202515,12.4,27,4/24/2025
504,202515,13.3,28,4/24/2025
505,202515,11.8,29,4/24/2025
506,202515,7.6,30,4/24/2025
507,202515,7.4,31,4/24/2025
508,202515,10.2,32,4/24/2025
509,202515,8.5,33,4/24/2025
510,202515,10.8,34,4/24/2025
511,202516,9.64,1,4/24/2025
512,202516,11.08,2,4/24/2025
513,202516,11.61,3,4/24/2025
514,202516,12.16,4,4/24/2025
515,202516,12.43,5,4/24/2025
516,202516,10.85,6,4/24/2025
517,202516,10.56,7,4/24/2025
518,202516,14.89,8,4/24/2025
519,202516,11.52,9,4/24/2025
520,202516,12.64,10,4/24/2025
521,202516,5.68,11,4/24/2025
522,202516,13.16,12,4/24/2025
523,202516,11.47,13,4/24/2025
524,202516,13.06,14,4/24/2025
525,202516,10.15,15,4/24/2025
526,202516,13.87,16,4/24/2025
527,202516,10.44,17,4/24/2025
528,202516,11.74,18,4/24/2025
529,202516,10.8,19,4/24/2025
530,202516,13.82,20,4/24/2025
531,202516,13.24,21,4/24/2025
532,202516,11.85,22,4/24/2025
533,202516,9.98,23,4/24/2025
534,202516,9.66,24,4/24/2025
535,202516,12.69,25,4/24/2025
536,202516,13.06,26,4/24/2025
537,202516,12.32,27,4/24/2025
538,202516,13.44,28,4/24/2025
539,202516,11.78,29,4/24/2025
540,202516,7.58,30,4/24/2025
541,202516,7.36,31,4/24/2025
542,202516,10.1,32,4/24/2025
543,202516,8.5,33,4/24/2025
544,202516,10.8,34,4/24/2025
545,202517,9.7,1,4/29/2025
546,202517,10.6,2,4/29/2025
547,202517,11.6,3,4/29/2025
548,202517,12.8,4,4/29/2025
549,202517,12.1,5,4/29/2025
550,202517,10.6,6,4/29/2025
551,202517,10.5,7,4/29/2025
552,202517,13.9,8,4/29/2025
553,202517,11.4,9,4/29/2025
554,202517,12.6,10,4/29/2025
555,202517,5.5,11,4/29/2025
556,202517,13,12,4/29/2025
557,202517,11.4,13,4/29/2025
558,202517,13,14,4/29/2025
559,202517,9.7,15,4/29/2025
560,202517,13.9,16,4/29/2025
561,202517,10.4,17,4/29/2025
562,202517,11.5,18,4/29/2025
563,202517,10.2,19,4/29/2025
564,202517,13.8,20,4/29/2025
565,202517,13.1,21,4/29/2025
566,202517,11.9,22,4/29/2025
567,202517,10,23,4/29/2025
568,202517,9.4,24,4/29/2025
569,202517,12.6,25,4/29/2025
570,202517,13.1,26,4/29/2025
571,202517,12.3,27,4/29/2025
572,202517,13.5,28,4/29/2025
573,202517,11.4,29,4/29/2025
574,202517,7.2,30,4/29/2025
575,202517,7.4,31,4/29/2025
576,202517,10,32,4/29/2025
577,202517,8.4,33,4/29/2025
578,202517,10.8,34,4/29/2025
